"字段1","字段4","字段5"
"星夜行","13089","一旦尺度放开，我国的影视作品还是比一向黑政府的韩国电影牛的，毕竟中国式的打官腔和厚黑学，是外国人学不来的。"
"大物电路都有毒","11947","看的时候觉得国家真黑暗，可是转念一想，这些黑暗能够拍出来，便是光明。"
"相约天涯路踏遍","5915","陆毅在里面格格不入，可能是演技问题"
"青麦弄影","6503","说不真实的小朋友可能对真实的中国官场一无所知，虽然也不是百分百还原吧，但是这种拖沓，滴水不漏才是体制内开会，汇报工作应有的样子，大家不要看多了美剧就以为全世界的政府机关都是美国那个样子的。没有流量小花鲜肉，比仙侠魔幻剧好看就行了，对现在的国产电视剧我也没什么别的奢求了。"
"乐知","4982","公安部拍了湄公河，最高检拍了人民的名义，明年就看最高法了"
"晨熹","5390","第一集看完。作为一个体制内的人，我真心觉得非常好，里面部分情节就像平时真实的场景历历在目。真实反应中国的政治生态。第二集看完，侯勇的演技都入神了，不愧都是老戏骨。"
"巴啦啦小魔仙","5030","好作品，好剧本，好班底，好阵容。六星。 其实芒果也播过很多神作，豆瓣9.6分《大明王朝1566》当年就在芒果播出的，《恰同学少年》《四十九日祭》《走向共和》也是芒果投资的，证明芒果不忘初心的正能量一面，芒果的初心一直都在，就像播《人民的名义》一样，花2.2个亿买下来，值得鼓励。"
"李小砚","4369","我一个95后女孩子竟然迷上这部反腐正剧！还到处安利，不过真的好看，剧情紧凑，尺度和格局够大！新时代的《官场现形记》，老戏骨们也真是没得说！全是戏，台词有时都是多余的，一个抬眼一个挑眉全有了，可谓“谈笑风生间激流暗涌，一来一往中绵里藏针”，唯有佩服！"
"死后竞选上帝","3736","反骨仔们请不要因为立场问题刻意打低分，好吗？虽然播了没几集，但是我觉得很精彩，尤其是剧情一层层拨解官场错综复杂的关系  和监察局办案时的无助。（剧情紧凑方面：50多集的国产剧当然没有七八集一季的美剧紧凑，希望各位能宽容看待中间拖沓的地方。毕竟中国正剧走到这一步不容易）"
"蓝帽闪亮亮","3011","陆毅就该拍这样的剧，又帅又正。其实我觉得陆毅演技挺好的，没有被吊打啊，而且陆毅底子就不差，当年《永不瞑目》的演技也很出色，可惜结婚了之后，也没有好资源了，只能急功近利接于妈剧试图回春，悲剧的是口碑还跑走了。但是陆毅的发挥至少是不出戏的。"
"西木","2179","当初跟周围人推荐这部剧，都是嗤之以鼻，不想了解，以为就是部伟光正。后来铺天盖地的舆论刷屏之后，大家才都纷纷下海。舆论，统一口径，想想也是个挺玄妙的东西"
"361","1183","一开始台词非常尴尬，陆毅柯蓝等人演技非常出戏，一举一动都企图强行撩你：老子看上去是不是很正气？这个逼装的帅不帅？……后面还不错，因为陆毅戏份少了哈哈～其他演员是在用心和神演戏，陆毅是在用眉毛和皮肉演戏，做作得很。"
"时光荏苒 `","945","导演能力太有限了，同样的剧本，同样的演员阵容，如果换孔笙导演，那品质就提高不止一个档次了。第一集就槽点多多，演员的化妆跟服装还停留在90年代，拜托，现在随便一个银行职员的打扮也没你这么土吧？你这接地气接的有点过了吧？还有那个书记的黑框眼镜，我去！这种权贵你就不能整个金丝边框的么？"
"方丽娟啊阿sir","1215","侯勇演技太好了……我都快要同情他了。道具扣一分，尼玛就不能放两张真的人民币？！颜色比冥币还假"
"徒然曜日","869","侯亮平评价蔡成功有一句话细思恐极：「他是输在起跑线的人」。片中公检法主人公，都是赵家人，不是师生、血缘、夫妻，再不济也是同学相隐，他们仕途顺畅光环逼人，而且最可怕的是化身真相正义，寒门出仕的幕僚连着商人个个自带原罪，有权必贪，有商必奸，再如何遁逃都是赵家刀俎之鱼肉、膝下之囚徒。"
"文品","946","太不接地气，陆毅一脸正义的台词，真的很让人尴尬。"
"Evan S.","1179","本来呢三星四星都正常，但我就想问问那些因为主旋律就打一星的，《钢锯岭》、《独立日》打没打一星？再问问那些看了一集说“恶心”的，老外搞政治宫斗一样一样的，改说英文，套上西装，语速加快，再把“人民”换成“自由平等”，怎么就不觉得“恶心”？"
"酒醒何处","1436","紧凑，真实，汇报与对话开会冠冕堂皇，瞻前顾后太真实了！"
"天空中最亮的星","1136","尺度惊人！！拍的非常真实！看到官小权大的处长满嘴仁义道德贪婪无度，副市长接受投资商排队敬酒拍马屁，几个省委领导汇报讨论汇报讨论互相扯皮为了私心，2亿的钱埋在墙壁里被查到时的绝望悔恨。强烈推荐！"
"我得改个名~","548","看了4集了，真的没有人受不了里面大段大段的说教吗？明明剧情就不错啊"
"胡弃暗","494","看了两集，9分过誉了，5.9分还差不多，官场生态刻画得挺像那么回事，但人物塑造得太令人尴尬了，尤其是那个出逃的副市长，简直就像弱智一样，小官巨贪的情节则铺陈得如同新闻回放，总之缺乏真正的深度，是群众喜闻乐见的保健品，并没有什么药效。"
"许卿倾城","502","陆毅简直了，老鼠屎最佳代言人，舍你其谁？"
"木亦","768","第一集，有个小细节，陈海和季检在车上往省委去汇报的路上，给候亮平打电话的时候，特地打开了车窗，，，当然，也有可能是我想多了，哈哈，第二十一集，陆亦可她妈给侯亮平打电话的时候，老人家屋子里电视上放的电影居然是华尔街之狼。。。233333"
"苏乏","547","有人厌弃这剧，我能理解，因为他对这个国家其实是失望的，所以认为是政治宣传，觉得就那么回事没必要叫好，但是我要叫好，因为我在乎仍旧于渺茫希望中沉浮之人的死活，在这身不由己江湖中还未放弃的人，必定和我一样心中有恨，时刻准备着杀出一条血路，让正义绝处逢生"
"阡陌之尘","475","这些台词看的我跟在上党课一般，特别不舒服，要表达的东西是好的，但为什么非要那么赤裸裸，能不能委婉一点。哪些官员之间天天都把党课的东西挂在嘴上吗？给人特别做作的感觉，看不下去！"
"局长","258","特别 韩红看了想打人"
"同志亦凡人中文站","295","不说人话的主旋律电视剧，和当年的唱红打黑有什么本质区别？都是拿艺术当陪酒女。别以人民的名义恶心我，小心我以月亮的名义惩罚你..."
"黄艹艹","858","第一集信息量太大 虽说“拖拉” 但这就是官场百态啊！"
"飞了","568","很多年没看国产剧了，这部戏却意外地吸引人，看了一集就放不下，做为一名曾经在体制内工作过十多年的人，我要说这戏对各色官员们行为，做派和说话方式还原度达到80%以上，不同就在于戏里演员们的身材太好了，真实的官场老油条们可没这么好的版型"
"星野变","306","24年前，《我爱我家》里满口套话、大词儿的老革命、老干部傅明同志让我觉得亲切、可爱、幽默，如今奋斗在反贪一线的夫妻俩在家里也是同样的套话、大词儿，怎么就让我觉得反胃呢？"
"DorisChau","661","五星预定。「与一众老戏骨对戏，陆毅单方面被碾压。」"
"无毒","324","五星给演员！结局应该是某些腐化分子的落马告终，不会上升到对整个体制结构的反思，主题无非“上头本质是好的，不过出了些害群之马而已”，大陆剧一向极度正确造成观众反感后，出现这样一部""意识输入""不那么简单粗暴的剧，瞬间被捧上天，大陆观众在审美上的“斯德哥尔摩症”暴露无遗，真是细思恐极"
"三太子。","432","有段时间流行考公务员，不是为了能为老百姓办事，而是羡慕体制内的朝九晚五旱涝保收，分配到国土煤炭公检法系统更成了隐晦的好单位。逢年过节同学聚会常把升官发财挂在嘴边。当我们为腐败道贺，为权利祝福。国家乃至民族的信仰正在一代代的缺失，而这些腐败者，正是这个国家与民族的叛徒。"
"squiggle","428","第三集开始好看了。不要再为陆毅的演技洗白了，就是烂剧拍多了回不来了。以前永不瞑目多有灵气啊。别说是因为年龄。像周迅梁朝伟梁家辉这些天赋极高的就不比了。戏里面陈海演员年纪应该跟陆毅差不多，台词功底神情动作比陆毅细腻多了。还有张博，大秦帝国崛起昭襄王，82年的，演技更是吊打陆毅啊。"
"无情小猫","373","陆毅和侯勇对戏，好像小学生对老教授呀。。。后面的几个男配角都好棒"
"宋小卡","443","至少在2017年，这部剧值得打五星。ps，打一星的小胖友，你们是不是也拆过共享单车的脚蹬子……"
"读诗人-公长","186","我去...我的一星评论竟然被删帖了，细思极恐，本以为是中国观众很好骗，但没想到是这个原因。"
"血仍未冷","248","陆毅的反贪高官形象极不可信，像一位除暴安良的江湖侠客，里面的官员用的手机全是小米，他们的属下跟老婆们全是iPhone 6。"
"早啊","387","现实中我真见过陈老这样的离休干部，外公是抗日老兵，住在干休所，因为冬天烧水一个月用了党三百多块钱电费就自责一年，是不是电视剧里拍的中国没有那么不可救药，所以那些傻逼们就看不惯非要打一星啊？"
"几灰魚","188","片面真相代替真相的手法，见得还少啊？纪实性虚构片。"
"柿子青涩之时","262","我觉得你这个同志 很搞笑 ！"
"亲爱的桂花树","213","这部戏最大的败笔是找了陆毅这种没演技的演内心戏丰富的人，又找了个和陆毅有仇的化妆师。陆毅最大的问题是和灯光师又打起来了。另外柯蓝特有女纪检的感觉。年轻演员的演技都浮夸，但剧情特别特别写实。我给三分，第四分一分给老戏骨们，剩一分给豆瓣。豆瓣敌人太多了，这部戏可不敢恶意评价。"
"沙瑞金","444","达康书记别低头，GDP会掉！别流泪，祁厅长会smile,京州的gdp由.com来守护，人民的豆瓣由.com承包"
"蜜斯鲤","237","一帮裙带关系的伟光正，这是告诉我们只有根正苗红才能当好官啊。"
"summer","148","我不喜欢这种样板戏，我也不想过多的评价。"
"王呆呆","203","这部电视剧最失误的就是一开始用了侯勇演一个配角，让后面所有主演的表现全都黯然失色。"
"李荷西","188","服了。副市长逃跑，在飞机上露出得意的微笑？怎么可能呢？陈海被撞的人事不省才几天，陈岩石和老伴儿回到家谈笑风生地迎接了小金子。“什么时候觉得自己不是亲生的？”陈海躺在病床上，艰难地抓起了话筒。"
"燕赤侠","135","豆瓣你怎么了"
"刀豆","205","陆毅二十年如一日的花瓶，气质油演技渣。柯蓝好，中老年绿叶们也好，其余年轻演员感觉既没吃过猪肉也没看过猪跑。槽点差不多和亮点一样多，名为反腐更像高级黑，处处黑。"
"iLsy是凛","181","陆毅和赵子琪在电脑前关于党员，反腐的对话真是让人尴尬。"
"南文","140","官场戏是否表现到位，我不知。但年轻演员的演技降低了品质"
"小R","231","这剧真不适合那些十几二十的小孩看，担心他们看不懂。  中国的官员那个中庸啊，那个圆滑啊，怎么描写都不为过"
"轻舞","390","人民的名义，第二集，侯勇老师的演技简直炸裂。"
"HolyC","123","所有直指要害的低分评论忽然消失,某些豆瓣网红的广播也蒸发无影,豆瓣也沦陷了?"
